task_id	name	status	exit	realtime	peak_vmem
1623	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 72)	COMPLETED	0	2m 50s	1 GB
1626	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 72)	COMPLETED	0	2m 32s	965.8 MB
841	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 28)	COMPLETED	0	50.3s	722.4 MB
785	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 4)	COMPLETED	0	2.5s	587.9 MB
1704	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 84)	COMPLETED	0	3m 26s	968.8 MB
2217	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 45)	COMPLETED	0	1m 42s	1.8 GB
1706	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 84)	COMPLETED	0	3m 39s	997 MB
2410	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 21)	COMPLETED	0	2m 11s	1.8 GB
2412	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 21)	COMPLETED	0	2m 6s	1.9 GB
871	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 32)	COMPLETED	0	2m 55s	806.1 MB
1044	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 63)	COMPLETED	0	2m 42s	969.7 MB
1045	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 63)	COMPLETED	0	2m 43s	989.6 MB
2231	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 43)	COMPLETED	0	7s	1.2 GB
1046	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 63)	COMPLETED	0	3m 4s	998.6 MB
1047	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 63)	COMPLETED	0	3m 4s	1.1 GB
1050	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 63)	COMPLETED	0	2m 41s	976.4 MB
1057	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 63)	COMPLETED	0	2m 42s	986.9 MB
1093	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 65)	COMPLETED	0	2m 39s	973.2 MB
1288	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 69)	COMPLETED	0	1m 14s	965.5 MB
1294	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 69)	COMPLETED	0	1m 22s	968.5 MB
1300	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 46)	COMPLETED	0	1m 20s	968.7 MB
784	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 4)	COMPLETED	0	47.1s	800.6 MB
2237	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 43)	COMPLETED	0	7.6s	1.2 GB
790	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 4)	COMPLETED	0	49.6s	800.5 MB
2243	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 22)	COMPLETED	0	7.4s	1.1 GB
1094	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 65)	COMPLETED	0	2m 57s	1 GB
1095	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 65)	COMPLETED	0	2m 55s	1.1 GB
1098	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 6)	COMPLETED	0	2m 45s	966.7 MB
1488	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 73)	COMPLETED	0	2m 35s	963.1 MB
1489	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 73)	COMPLETED	0	2m 31s	977.8 MB
2127	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 41)	COMPLETED	0	1m 47s	1.8 GB
2130	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 41)	COMPLETED	0	1m 34s	1.8 GB
2131	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 41)	COMPLETED	0	1m 32s	1.8 GB
2132	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 41)	COMPLETED	0	1m 46s	1.8 GB
2133	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 41)	COMPLETED	0	1m 47s	1.8 GB
2134	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 41)	COMPLETED	0	1m 5s	1.7 GB
1746	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 11)	COMPLETED	0	6m 55s	1.2 GB
1490	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 73)	COMPLETED	0	2m 43s	1.1 GB
1491	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 73)	COMPLETED	0	2m 45s	1.1 GB
1506	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 76)	COMPLETED	0	3m 12s	965.7 MB
1614	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 71)	COMPLETED	0	2m 31s	966 MB
1616	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 71)	COMPLETED	0	2m 49s	1000.7 MB
1615	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 71)	COMPLETED	0	2m 37s	978.2 MB
1617	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 71)	COMPLETED	0	2m 58s	1 GB
1622	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 72)	COMPLETED	0	2m 55s	1.1 GB
837	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 28)	COMPLETED	0	1m 8s	813.2 MB
843	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 28)	COMPLETED	0	1m 11s	808 MB
844	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 28)	COMPLETED	0	1m 16s	694.7 MB
1727	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 11)	COMPLETED	0	4.3s	841.7 MB
1739	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 11)	COMPLETED	0	4.4s	762.1 MB
1901	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 37)	COMPLETED	0	5.5s	960.2 MB
2236	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 43)	COMPLETED	0	1m 6s	1.7 GB
2242	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 43)	COMPLETED	0	58s	1.7 GB
2028	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 16)	COMPLETED	0	3m 21s	1.6 GB
1036	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 57)	COMPLETED	0	1m 20s	968.5 MB
1740	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 11)	COMPLETED	0	6m 45s	1.2 GB
2029	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 16)	COMPLETED	0	3m 28s	1.6 GB
2031	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 16)	COMPLETED	0	3m 58s	2 GB
2030	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 16)	COMPLETED	0	3m 59s	1.9 GB
