task_id	name	status	exit	realtime	peak_vmem
2112	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 63)	COMPLETED	0	6m 8s	981.2 MB
1982	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 55)	COMPLETED	0	5m 54s	1.1 GB
2258	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 71)	COMPLETED	0	5m 35s	1.1 GB
2259	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 71)	COMPLETED	0	5m 38s	1.1 GB
2263	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 71)	COMPLETED	0	5m 25s	1 GB
2262	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 71)	COMPLETED	0	5m 18s	1 GB
2264	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 71)	COMPLETED	0	5m 41s	1.1 GB
1760	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 44)	COMPLETED	0	2m 31s	1.8 GB
1765	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 44)	COMPLETED	0	2m 25s	1.8 GB
1350	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 25)	COMPLETED	0	2m 20s	1.8 GB
1690	run_method (method: MaxwayCRT_semi_supervised_LASSO_LASSO_6; grid row: 41)	COMPLETED	0	1m 41s	1.8 GB
1696	run_method (method: MaxwayCRT_semi_supervised_LASSO_LASSO_6; grid row: 41)	COMPLETED	0	1m 37s	1.8 GB
1702	run_method (method: MaxwayCRT_semi_supervised_LASSO_LASSO_6; grid row: 41)	COMPLETED	0	1m 36s	1.8 GB
2087	run_method (method: GCM_semi_supervised_oracle_oracle_1; grid row: 61)	COMPLETED	0	3.4s	627.3 MB
2159	run_method (method: GCM_semi_supervised_oracle_oracle_1; grid row: 65)	COMPLETED	0	3.4s	660.2 MB
2440	run_method (method: MaxwayCRT_semi_supervised_LASSO_LASSO_6; grid row: 82)	COMPLETED	0	3m 31s	1 GB
1686	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 41)	COMPLETED	0	2m 25s	1.8 GB
1700	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 41)	COMPLETED	0	2m 30s	1.8 GB
2441	run_method (method: GCM_semi_supervised_oracle_oracle_1; grid row: 82)	COMPLETED	0	3.6s	747.6 MB
1353	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 25)	COMPLETED	0	3m 3s	2.6 GB
2447	run_method (method: GCM_semi_supervised_oracle_oracle_1; grid row: 82)	COMPLETED	0	3.6s	749.6 MB
2388	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 77)	COMPLETED	0	6m 32s	1 GB
2389	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 77)	COMPLETED	0	6m 22s	969.2 MB
2106	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 62)	COMPLETED	0	5m 37s	977.7 MB
1675	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 40)	COMPLETED	0	2m 55s	1.4 GB
2234	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 66)	COMPLETED	0	5m 26s	1.1 GB
2235	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 66)	COMPLETED	0	5m 25s	1.1 GB
1687	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 41)	COMPLETED	0	2m 18s	1.8 GB
1689	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 41)	COMPLETED	0	2m 27s	1.9 GB
